id,likes,caption,imageURL,image_labels
CVpx19gF9-g,15170,ZARA SRPLS. Collection 07. DRP01 COMING SOON #zarasrpls #zarawoman,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/250299811_908544983434056_925613817095084194_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=GJPB3OWQINoAX--fiOl&edm=AABBvjUBAAAA&ccb=7-4&oh=6d79c73abf1b1001fc484064911ac117&oe=6193A54C&_nc_sid=83d603,"['Neck', 'Sleeve', 'Grey', 'Waist', 'Font', 'Denim', 'Pattern', 'Electric blue', 'Chest', 'Woolen']"
CVpamq9JO0P,12853,ZARA SRPLS. Collection 07. DRP01 COMING SOON #zarasrpls @zaraman,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/250136665_595358435230699_7313280068391140967_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=lhJUiMi3nq0AX9wyyQS&tn=oFZ-Gq2sllr-Yy4I&edm=AABBvjUBAAAA&ccb=7-4&oh=fde4b0d032fcce61b65e1fafb0d57dea&oe=61938441&_nc_sid=83d603,"['Building', 'Black-and-white', 'World', 'Font', 'Tower block', 'Facade', 'Urban design', 'Condominium', 'City', 'Roof']"
CVnpS7ntzH_,30764,"ZARA KIDS+ LILMCKIMM. Now available
“This collection is an ode to New York. Inspired by and dedicated to my kids and all the kids growing up in the downtown parks in New York city” - Alastair Mckimm. 
@amytroostphotography
@alastairmckimm
@zarakids #zarakids",https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/249588474_358960576009369_3403376103957144006_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=guRLeR-is0MAX9Ipjbn&edm=AABBvjUBAAAA&ccb=7-4&oh=b14a8467fec377fabfa87f0c9f8a86f0&oe=61993C19&_nc_sid=83d603,"['Outerwear', 'Arm', 'Neck', 'Sleeve', 'Gesture', 'Collar', 'Jacket', 'Overcoat', 'Street fashion', 'Fashion design']"
CVnVR6Ytzjr,23235,"ZARA KIDS+ LILMCKIMM. Now available
“This collection is an ode to New York. Inspired by and dedicated to my kids and all the kids growing up in the downtown parks in New York city” - Alastair Mckimm. 
@amytroostphotography
@alastairmckimm
@zarakids #zarakids",https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/249368952_594983421772997_6517642975801172113_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=CTWjcXhQl9EAX8hj12u&edm=AABBvjUBAAAA&ccb=7-4&oh=6324d4fc526a5e28ef98afef6f33e6b2&oe=6198F83E&_nc_sid=83d603,"['Face', 'Smile', 'Head', 'Outerwear', 'Arm', 'Eye', 'Product', 'Organ', 'Human body', 'Sleeve']"
CVnL685tefr,22683,"ZARA KIDS+ LILMCKIMM. Now available
“This collection is an ode to New York. Inspired by and dedicated to my kids and all the kids growing up in the downtown parks in New York city” - Alastair Mckimm. 
@amytroostphotography
@alastairmckimm
@zarakids #zarakids",https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/249105337_1495382717500698_6446806643680244861_n.jpg?_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=Z_rGgVKIU9gAX8KS8TT&edm=AABBvjUBAAAA&ccb=7-4&oh=c867e712f0f37bdc8876c50510c9bef8&oe=61990169&_nc_sid=83d603,"['Toy', 'Sleeve', 'Waist', 'Collar', 'Bag', 'Fashion design', 'Luggage and bags', 'Blazer', 'Street fashion', 'Doll']"
CVdoj_-tl0L,42090,"COMING SOON. ZARA KIDS+ LILMCKIMM

@amytroostphotography
@alastairmckimm 
@zarakids #zarakids",https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/248786877_512253830312723_6462908198225381708_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=UKi3Z6iU1aIAX_SXMlG&edm=AABBvjUBAAAA&ccb=7-4&oh=dddf9b4ce3a76ac308dc6be68ab5aff3&oe=61984B6D&_nc_sid=83d603,"['Clothing', 'Lip', 'Outerwear', 'Eyebrow', 'Cap', 'White', 'Black', 'Flash photography', 'Sleeve', 'Headgear']"
CVda8qpNn2P,53563,"COMING SOON. ZARA KIDS+ LILMCKIMM

@amytroostphotography
@alastairmckimm 
@zarakids #zarakids",https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/248458615_2355060271296805_8778309018308680483_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=xZ12pcFnqlsAX98lj-2&edm=AABBvjUBAAAA&ccb=7-4&oh=26373a3acd74154902ab6dd58be4f58a&oe=6198518C&_nc_sid=83d603,"['Forehead', 'Nose', 'Cheek', 'Lip', 'Eyebrow', 'Eye', 'Eyelash', 'Mouth', 'Black', 'Human body']"
CVdP5OhN1jp,34387,"COMING SOON. ZARA KIDS+ LILMCKIMM

@amytroostphotography
@alastairmckimm 
@zarakids #zarakids",https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/248181850_1042508193169640_6176241254950783510_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=mYI7ubYHkYwAX_vfGcI&edm=AABBvjUBAAAA&ccb=7-4&oh=1daba130a0abe0f0e6964f0c8a287bb8&oe=61988C73&_nc_sid=83d603,"['Forehead', 'Nose', 'Cheek', 'Head', 'Chin', 'Smile', 'Eyebrow', 'Black', 'Flash photography', 'Jaw']"
CVLXKneNfco,46246,"Zara Studio Fall ‘21 Collection 
Art director: Fabien Baron @fabienbaron
Photographs: Gregory Harris @gstyles
Stylist: Karl Templer #KarlTempler
Hair: Benjamin Muller @benjaminmullerhair
Make-up: Lili Choi @lilichoimakeup
#zarastudio #zarakids @zarakids",https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/246496153_311969623599455_7826590013933807567_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=ILvkP2B5XEkAX-4UctQ&edm=AABBvjUBAAAA&ccb=7-4&oh=a2921feec52c905ed678f5aba7cf4ce1&oe=61980A13&_nc_sid=83d603,"['Jeans', 'Musical instrument', 'Band plays', 'Drum', 'Musician', 'Microphone', 'Membranophone', 'String instrument', 'String instrument', 'Guitar']"
CVK2NKss98F,15245,"Art director: Fabien Baron @fabienbaron
Film director: Fabien Baron @fabienbaron
Stylist: Karl Templer #KarlTempler
Hair: Benjamin Muller @benjaminmullerhair
Make-up: Lili Choi @lilichoimakeup
#zarastudio #zarakids @zarakids",https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/246772837_919289599010796_7571044021497709928_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=kkyeX9Ypa2kAX_ooFT3&edm=AABBvjUBAAAA&ccb=7-4&oh=e7e6050ce73878c5c2aa235e5071fa58&oe=6193B007&_nc_sid=83d603,"['Lip', 'Musical instrument', 'Guitar', 'Guitar accessory', 'String instrument accessory', 'String instrument', 'Plucked string instruments', 'Guitarist', 'Musical instrument accessory', 'Music']"
